"閒晃(金瓜石館)","台北 瑞芳區金瓜石山尖路173號","2660"
"九份輝明民宿","台北 瑞芳區汽車路35之1號","1500"
"莉塔屋","台北 瑞芳區汽車路35號","1500"
"九份小町民宿","台北 瑞芳區永慶里崙頂路70號","2400"
"九份惠風民宿","台北 瑞芳區崇文里頂巷41號","2400"
"記憶九份","台北 瑞芳區頌德里豎崎路8號","2800"
"小角落","台北 瑞芳區坑尾巷1號","785"
"林園村莊","台北 瑞芳區瑞芳區佛堂巷63號","1680"
"九份岑品民宿","台北 瑞芳區烏勢巷81號","1991"
"北海道民宿","台北 平溪區白石村白石腳1號","1500"
"十分懷念民宿","台北 平溪區十分街58巷14號","1800"
"山水清民宿","台北 平溪區嶺腳里四鄰57號一樓","600"
"莊媽媽民宿","台北 平溪區嶺腳村65號","1200"
"牡丹清境民宿","台北 雙溪區三貂村定福11號","4500"
"良辰美瑾","台北 雙溪區上林里內平林60號之5","2200"
"幸福民宿","台北 雙溪區太平路77號1樓","1800"
"登雲自然民宿","台北 雙溪區東榮街8巷8號","2300"
"雙禾民宿","台北 雙溪區漁行村坤溪23號","2000"
"山明水舍","台北 雙溪區外柑村田寮9號","700"
"山中威尼斯","台北 雙溪區新基里新基東街7之1號","2280"
"地球人戶外休閒家","台北 貢寮區福隆街16號","1200"
"百美民宿","台北 貢寮區福連村福興街6號","1400"
"三才靈芝農場民宿","台北 石碇區中民村18重溪52之1號","1290"
"迷你谷渡假民宿","台北 烏來區烏來里啦卡路20號","3100"
"龍門溫泉民宿","台北 烏來區烏來村溫泉街116號","2300"
"揚悅(烏來館)","台北 烏來區烏來街6號","2400"
"飄雲古舍","台北 三峽區竹崙里三層坪路14號","2200"
"福容大飯店(三鶯)","台北 三峽區大學路63號","4600"
"花岩山林民宿","台北 三峽區有木里有木104之1號","3200"
"阿桂的家","台北 三峽區金圳里金敏52-1號","2400"
"都瑪斯民宿","苗栗縣 泰安鄉梅園村梅園一鄰27號","1000"
"土牧驛健康農莊","苗栗縣 泰安鄉八卦村4鄰59之3號","3000"
"湯唯民宿","苗栗縣 泰安鄉錦水村橫龍山72-2號","4000"
