"name","address","price","lon","lat"
"悅山海","新北市 瑞芳區崙頂路103號",1500,121.8450025,25.1070582
"九份觀海樓民宿","新北市 瑞芳區基山街183之1號(172號)",1300,121.8431201,25.107625
"九份李老師的家民宿","新北市 瑞芳區崙頂路59號",1800,121.8439207,25.1074602
"柳園民宿","新北市 瑞芳區基山街237號",2400,121.8415309,25.1070526
"石山水禪民宿","新北市 瑞芳區山尖路54號",2400,121.8548282,25.1152524
"九份高媽媽民宿","新北市 瑞芳區汽車路7之5號",1400,121.8461141,25.1113441
"Amour扮家家","新北市 瑞芳區明燈路一段45巷(台電變電所附近)",2300,121.821511,25.1050534
"慢時光民宿","新北市 瑞芳區祈堂路160號",NA,121.8599731,25.1088896
"九份見晴民宿","新北市 瑞芳區汽車路9之12號",2480,121.8459647,25.1111539
"九份愉園","新北市 瑞芳區民權街鐵路巷1之1號",2000,121.8080802,25.1081294
"月河民宿","新北市 瑞芳區金瓜石銅山里祈堂路130號",1500,121.8581552,25.1100777
"陶紅舍","新北市 瑞芳區洞頂路159號",2880,121.8610262,25.1225357
"九份B&B民宿","新北市 瑞芳區九份坑尾巷30號",2000,121.8440598,25.1105082
"朵拉民宿","新北市 瑞芳區基山街",2800,121.8433796,25.1081578
"Sea Cafe","新北市 瑞芳區水湳洞明里路208號",2380,121.8681456,25.1203639
"美好時光","新北市 瑞芳區崙頂路39-2號",2800,121.8439233,25.1074591
"九份金瓜石散散步","新北市 瑞芳區祈堂路110號",2800,121.8599731,25.1088896
"閒晃(金瓜石館)","新北市 瑞芳區金瓜石山尖路173號",2660,121.8529844,25.1122821
"九份輝明民宿","新北市 瑞芳區汽車路35之1號",1500,121.8459755,25.1104039
"莉塔屋","新北市 瑞芳區汽車路35號",1500,121.8459755,25.1104039
"九份小町民宿","新北市 瑞芳區永慶里崙頂路70號",2400,121.8457166,25.1074712
"九份惠風民宿","新北市 瑞芳區崇文里頂巷41號",2400,121.8446205,25.1077072
"記憶九份","新北市 瑞芳區頌德里豎崎路8號",2800,121.8430601,25.1091093
"小角落","新北市 瑞芳區坑尾巷1號",785,121.8442379,25.1114858
"林園村莊","新北市 瑞芳區瑞芳區佛堂巷63號",1680,121.804139,25.111661
"九份岑品民宿","新北市 瑞芳區烏勢巷81號",1991,121.8455606,25.1088979
"北海道民宿","新北市 平溪區白石村白石腳1號",1500,121.7408654,25.0248314
"十分懷念民宿","新北市 平溪區十分街58巷14號",1800,121.7765514,25.0425895
"山水清民宿","新北市 平溪區嶺腳里四鄰57號一樓",600,121.7394939,25.0406267
"莊媽媽民宿","新北市 平溪區嶺腳村65號",1200,121.7408654,25.0248314
"牡丹清境民宿","新北市 雙溪區三貂村定福11號",4500,121.8505972,25.0685776
"良辰美瑾","新北市 雙溪區上林里內平林60號之5",2200,121.8342882,25.0303917
"幸福民宿","新北市 雙溪區太平路77號1樓",1800,121.8652067,25.0359215
"登雲自然民宿","新北市 雙溪區東榮街8巷8號",2300,121.8654622,25.0342142
"雙禾民宿","新北市 雙溪區漁行村坤溪23號",2000,121.822098,24.9971842
"山明水舍","新北市 雙溪區外柑村田寮9號",700,121.822098,24.9971842
"山中威尼斯","新北市 雙溪區新基里新基東街7之1號",2280,121.8712777,25.0415019
"地球人戶外休閒家","新北市 貢寮區福隆街16號",1200,121.9449194,25.0163804
